player,school,gp,mpg,bpm,class,birthdate,pick
Brice Williams,Nebraska,35,34.0629,5.12187,Sr,2001-07-05,
Kadin Shedrick,Texas,35,26.5343,7.12656,Sr,2001-07-27,
K'mani Doughty,Indiana St.,30,22.9750,0.40214,Sr,2000-10-15,
Dajuan Harris Jr.,Kansas,33,32.4333,5.03819,Sr,2000-12-11,
Ethan Brittain-Watts,Ball St.,28,25.8323,-2.74507,Sr,2002-02-01,
Brandon Newman,Oklahoma St.,35,20.0257,2.22156,Sr,2001-01-15,
Jared Coleman-Jones,San Diego St.,28,25.5138,1.88643,Sr,2000-09-13,
Austin Johnson,Long Beach St.,30,27.4187,-3.92766,Sr,1999-09-13,
Noah Waterman,Louisville,31,20.5032,1.02569,Sr,2000-04-02,
Justin Hohn,UC Irvine,37,30.4789,0.153946,Sr,2000-10-15,
Alejandro Vasquez,UAB,36,23.0649,-1.44291,Sr,2000-10-21,
Shon Robinson,Incarnate Word,11,14.8286,-0.633298,Sr,2001-11-18,
Mark Freeman,James Madison,30,29.7125,-0.694533,Sr,2000-10-15,
T.J. Weeks Jr.,Rider,32,34.4781,0.899641,Sr,2000-03-15,
Naheem McLeod,Syracuse,18,6.6611,6.55481,Sr,2000-01-31,
Damian Dunn,Pittsburgh,16,25.0187,1.17154,Jr,2001-05-15,
Curt Lewis,East Tennessee St.,6,13.8000,-1.35892,Jr,2000-10-15,
Greg Gantt Jr.,UNC Asheville,28,27.3750,0.85833,Sr,2000-09-29,
Dexter Akanno,Utah St.,33,25.0000,2.37313,Sr,2000-09-16,
Raymond Somerville,Delaware St.,26,11.8467,-2.82881,Sr,2000-07-31,
Justin Bieker,Utah Tech,31,25.0061,-3.3391,Sr,2000-08-23,
Isaiah Hawthorne,Northern Colorado,31,29.7000,1.19463,Sr,2001-08-28,
Rylan Jones,Samford,31,28.5030,2.13065,Sr,2000-10-15,
Keeshawn Kellman,Florida Gulf Coast,29,26.6867,-0.317741,Sr,2000-08-19,
Jesus Carralero Martin,Bethune Cookman,33,29.0394,1.78632,Sr,2000-07-24,
Nick Fiorillo,Vermont,28,30.2483,-0.418369,Sr,2000-10-15,
Jae'Lyn Withers,North Carolina,37,17.4595,5.32807,Sr,2000-12-20,
Yusuf Jihad,Eastern Michigan,31,10.5406,-7.12924,Sr,2002-08-10,
Nate Ferguson,Drake,30,9.1719,-5.39909,Sr,2000-10-15,
Joseph Yesufu,West Virginia,29,19.1138,0.28715,Sr,2000-09-17,
Chase Johnston,High Point,33,22.0314,3.87778,Sr,2000-10-15,
Devan Cambridge,Texas Tech,6,17.6500,2.40807,Sr,2001-01-30,
Gianni Hunt,Bethune Cookman,9,24.4778,-6.84427,Sr,2000-08-06,
Connor Withers,Bryant,33,34.3686,2.69258,Sr,2000-06-28,
Jovan Blacksher Jr.,California,29,29.6690,0.608896,Sr,1999-09-12,
John Tonje,Wisconsin,37,31.1000,7.84818,Sr,2001-04-23,53
Fletcher Abee,UNC Asheville,27,29.8800,-3.52591,Sr,2000-10-15,
Caleb Grill,Missouri,29,26.2276,9.78696,Sr,2000-06-15,
Luke Anderson,James Madison,11,11.3231,-0.706166,Sr,2000-07-09,
Morgan Safford,Kent St.,7,25.9875,-1.60614,Sr,2001-02-23,
Zion Richardson,Cal St. Fullerton,20,18.1238,0.246552,Sr,2001-01-23,
Isaiah Ihnen,Liberty,9,17.9727,3.23278,Jr,2000-10-15,
Moulaye Sissoko,North Texas,34,25.4472,3.01105,Sr,1999-11-17,
Matthew Van Komen,Elon,30,22.9750,4.13449,Sr,2000-10-15,
Damari Monsanto,UTSA,28,27.3300,1.85915,Sr,2000-10-31,
Ben Hendriks,Ball St.,28,12.9871,-2.96602,Sr,2000-06-06,
Nick Johnson,Winthrop,31,27.3853,1.07366,Sr,2000-10-15,
B. Artis White,Richmond,24,26.8880,-1.43511,Jr,2000-10-15,
J'Wan Roberts,Houston,37,30.2838,8.30628,Sr,2001-09-19,
Akrum Ahemed,UNC Greensboro,24,11.6741,-3.67451,Sr,2000-09-10,
Jordan Brinson,Cal St. Northridge,26,13.5259,-1.91951,Sr,1999-12-31,
Lok Wur,Grand Canyon,33,21.7176,3.75825,Sr,2000-12-12,
C.J. Walker,East Carolina,31,31.1394,-2.09124,Sr,2001-03-29,
Avery Felts,Arkansas St.,32,11.2697,1.64485,Sr,2000-10-15,
Joe Pridgen,Montana,32,27.6857,2.33678,Sr,2000-10-15,
Brycen Goodine,Oklahoma,31,22.6258,4.16293,Sr,1999-09-29,
DeAntoni Gordon,Southern Miss,30,27.1844,-1.27725,Sr,2000-09-28,
Patrick McCaffery,Butler,35,32.1886,3.17282,Sr,2000-03-20,
Essam Mostafa,Middle Tennessee,31,27.2061,6.32584,Sr,1999-08-03,
Brendan Wenzel,TCU,29,21.5966,1.1046,Sr,2000-10-15,
Eric Dixon,Villanova,35,34.8114,4.55317,Sr,2001-01-26,
Denijay Harris,Southern Miss,30,34.4844,-2.04686,Sr,2000-05-29,
Tyzhaun Claude,North Carolina,20,4.9000,-0.0985781,Sr,2000-07-24,
Ques Glover,Ohio St.,24,15.9458,-1.84724,Sr,2000-10-15,
Jeffery Armstrong,Southern Miss,23,6.7400,-6.3155,Sr,2000-10-15,
Harlond Beverly,Wichita St.,32,26.9818,1.52061,Sr,2001-05-31,
Jalen Windham,Morehead St.,1,16.6500,-15.6179,Sr,2000-10-15,
Shereef Mitchell,Ohio,24,28.4720,-0.029453,Sr,2000-07-03,
Cameron Shockley-Okeke,Howard,28,25.9531,-2.55601,Sr,2000-05-25,
Kvonn Cramer,Bryant,32,17.4235,1.45839,Sr,2000-10-15,
Tariq Ingraham,Rider,33,26.8394,-0.30512,Sr,2000-10-03,
Steve Settle,Temple,30,33.2935,4.1593,Sr,2001-02-20,
"Wayne Bristol, Jr.",Hampton,30,20.8182,-1.44583,Sr,2000-10-15,
Caleb Stone-Carrawell,Loyola Marymount,31,28.7313,-2.52769,Sr,2000-11-25,
Max Brackmann,Southeastern Louisiana,11,4.0231,-9.15856,Sr,2000-03-10,
Ahmir Langlais,Tennessee St.,21,13.5826,-3.3415,Sr,2000-10-15,
Lance Terry,Georgia Tech,31,34.4935,1.9415,Sr,2001-01-11,
Carlos Paez,Southeastern Louisiana,30,18.2258,0.295194,Sr,2000-01-06,
Mason Gillis,Duke,37,14.7432,7.19215,Sr,2000-11-24,
Connor Braun,Arizona St.,4,0.8000,-1.98301,Sr,2001-10-15,
Issac McBride,Oral Roberts,26,35.1867,-0.173672,Sr,2000-12-20,
Jeremy Sanchez,Missouri,5,1.1000,-11.2634,Sr,2000-10-17,
Malcolm Wilson,Queens,33,22.2400,4.76132,Sr,2000-10-15,
Mikal Dawson,Marshall,31,30.2000,0.100742,Sr,2000-01-30,
Chris Moore,Auburn,37,10.0378,4.10469,Sr,2001-10-08,
Marcus Dockery,Howard,28,34.1406,-2.8142,Sr,2001-10-15,
Nico Galette,Youngstown St.,32,31.0029,2.97893,Sr,2002-06-22,
Fidelis Okereke,Cal St. Bakersfield,31,23.4242,0.732106,Sr,2002-10-03,
Mwani Wilkinson,Little Rock,31,33.1455,0.60136,Sr,2002-08-12,
DJ Davis,Washington,26,23.7370,-0.478863,Sr,2001-05-27,
Josh Ogundele,Tennessee St.,30,14.7212,-0.925092,Sr,2000-12-19,
Laurynas Vaistaras,Mercer,23,14.6600,-5.73028,Sr,2001-01-16,
Dylan Addae-Wusu,Seton Hall,25,28.8880,1.72488,Sr,2001-07-17,
Jordan Wood,Stetson,30,26.8531,-1.54338,Sr,2002-01-03,
Martaz Robinson,Delaware St.,25,32.4034,-2.1764,Sr,2001-10-15,
Christopher Biekeu,New Mexico St.,5,2.5125,-19.6046,Sr,2001-10-15,
Noel Brown,St. Bonaventure,33,30.9353,0.819227,Sr,2000-10-14,
Ishmael Leggett,Pittsburgh,31,35.4194,2.93959,Sr,2001-10-15,
Frank Anselem-Ibe,Louisville,23,3.7478,2.12903,Sr,2000-07-04,
Carlos Rosario,Oral Roberts,19,14.1087,-5.98139,Jr,2001-10-15,
Matthew Nicholson,Northwestern,33,24.4030,7.8901,Sr,2001-10-15,
Ricardo Wright,Kennesaw St.,28,16.9452,-5.04946,Sr,2001-10-15,
Hakim Byrd,Utah Tech,31,31.8187,-4.78656,Sr,2001-10-15,
Viktor Lakhin,Clemson,34,23.6147,9.33597,Sr,2001-07-30,
Toneari Lane,Georgia St.,32,35.0848,-1.08271,Sr,2001-10-15,
Kelton Talford,Winthrop,31,27.8029,2.94821,Sr,2002-02-14,
Ray Harrison,Grand Canyon,33,31.5882,-0.0897111,Sr,2002-03-02,
Trae Broadnax,Rice,31,30.4531,0.694222,Sr,2001-10-15,
Jeremiah Williams,Rutgers,31,24.2613,2.17278,Sr,2001-10-15,
Quincy Ademokoya,South Florida,31,20.7594,-2.80851,Sr,2001-10-15,
Jordan Davis,Illinois St.,30,23.1323,-0.161038,Sr,2002-02-27,
Nick McMullen,Georgia St.,32,28.8394,-1.98681,Sr,2002-05-13,
Connor Kochera,Davidson,32,32.7606,0.482499,Sr,2003-05-07,
Yuri Covington,UMass Lowell,29,28.7219,-4.78731,Sr,2001-11-21,
Andre Mulibea,Coastal Carolina,16,16.9056,-2.77295,Jr,2001-12-09,
Keishon Porter,North Carolina Central,29,25.3030,-1.3487,Sr,2001-10-15,
Joe Anderson,Lipscomb,33,32.2543,5.14317,Sr,2001-10-15,
Alexander Nwagha,Northeastern,26,13.0346,2.01261,Sr,2001-09-25,
Nique Clifford,Colorado St.,36,35.3889,10.4147,Sr,2002-02-09,24
Isaac Jessup,Cal Poly,31,30.6258,3.70892,Sr,2002-03-14,
Owen Koonce,Cal Poly,34,30.1457,1.41192,Sr,2001-10-21,
Aidan McCool,Louisville,10,0.9300,5.67072,Sr,2001-10-15,
Alec Oglesby,Middle Tennessee,3,7.3500,-14.8716,Sr,2001-09-13,
Mason Madsen,Utah,30,14.2533,3.57209,Sr,2001-05-01,
Gabe Madsen,Utah,33,29.7333,1.81689,Sr,2001-05-01,
Jahmyl Telfort,Butler,33,35.1970,4.08734,Sr,2001-04-30,
Drake Dobbs,St. Thomas,31,28.7765,1.97032,Sr,2001-03-31,
Isaiah Johnson,Portland St.,29,30.5875,1.35787,Sr,2001-10-11,
Tegra Izay,Southern Miss,3,9.4750,0.0454771,Sr,2001-10-15,
Latrell Wrightsell Jr.,Alabama,8,25.7000,7.01892,Sr,2001-10-15,
Donovan Newby,UNC Wilmington,33,32.1114,2.06562,Sr,2002-06-06,
Logan McLaughlin,Cal Poly,8,4.6556,-11.6537,Jr,2001-10-15,
Keon Ambrose-Hylton,SMU,35,12.1600,1.44856,Sr,2001-09-21,
Vasja Pandža,Seattle,27,10.4241,-5.46089,Sr,2001-07-10,
DeMarr Langford Jr.,Albany,30,30.8438,0.166078,Sr,2001-10-15,
Johnathan DeJurnett,Purdue Fort Wayne,5,4.6000,-3.53565,Sr,2001-10-15,
Jarvis Walker,IU Indy,29,32.0781,-5.4259,Sr,2001-10-15,
Kasen Harrison,Winthrop,31,29.9206,-0.25239,Sr,2002-01-12,
Isaiah Cottrell,UNLV,11,9.0182,-2.94857,Jr,2001-10-15,
Jamari Sibley,Southern Utah,19,24.3000,-2.4295,Sr,2001-10-15,
T.J. Berger,Lafayette,25,7.6615,-9.24912,Sr,2001-10-15,
Jahlil White,La Salle,28,27.1931,0.259273,Sr,2001-12-02,
Caleb Love,Arizona,37,34.0703,5.8182,Sr,2001-09-27,
Hayden Curtiss,Portland St.,18,16.4524,0.873239,Sr,2002-07-08,
Collin Holloway,Samford,31,24.6424,-2.55223,Jr,2002-02-05,
Coleman Hawkins,Kansas St.,30,33.6267,6.84972,Sr,2001-12-10,
Jackson Sivills,Wofford,31,21.9485,0.635031,Sr,2001-11-20,
Nijel Pack,Miami FL,9,31.2111,1.34033,Sr,2001-05-22,
Andre Henry,UC Irvine,8,24.9333,-0.680845,Sr,2001-10-15,
Caleb Murphy,UMass Lowell,7,7.9143,-8.93813,Sr,2001-09-29,
Ze'rik Onyema,Texas,35,10.2286,4.35986,Sr,2001-10-15,
Josh Taylor,East Texas A&M,31,22.0161,0.829494,Sr,2001-11-11,
Klemen Vuga,Arkansas Pine Bluff,28,16.7167,-9.92407,Sr,2000-12-22,
Giancarlo Rosado,Charlotte,29,29.2724,-0.846498,Sr,2001-09-15,
Will Soucie,North Alabama,33,29.2914,-0.561944,Sr,2001-10-15,
Aquan Smart,North Carolina Central,26,12.1133,-3.49518,Sr,2001-10-15,
Chad Baker-Mazara,Auburn,38,25.5921,8.93367,Sr,2000-01-27,
Deivon Smith,St. John's,30,27.0500,4.87269,Sr,2002-03-08,
Mounir Hima,Howard,15,4.8111,-5.45061,Sr,2001-05-23,
Andersson Garcia,Texas A&M,34,24.4000,10.1193,Sr,2000-08-23,
Luis Kortright,Washington,17,17.2611,-3.08906,Sr,2001-10-15,
Tymu Chenery,Binghamton,29,35.5875,-0.507549,Sr,2000-09-15,
Jayson Woodrich,Oakland,33,18.7088,-3.2129,Sr,2001-07-22,
Mabor Majak,Coastal Carolina,30,7.4813,-7.3185,Sr,2000-08-27,
Deven Dahlke,San Diego,32,19.3697,-1.25912,Sr,2001-10-15,
Noah Farrakhan,Hampton,28,29.4387,-0.000708166,Sr,2000-12-03,
Anwar Gill,Howard,27,28.7333,-3.75688,Sr,2000-08-05,
Robby Beasley,San Francisco,31,12.1406,0.197887,Sr,2001-10-15,
Dean Reiber,Charlotte,30,13.1419,-3.3892,Sr,2001-10-15,
Jhamir Brickus,Villanova,36,29.7361,2.8313,Sr,2001-11-30,
Dante Harris,Memphis,16,11.7688,1.83253,Sr,2001-10-15,
Terell Strickland,LIU,25,30.2037,-2.38938,Sr,2001-10-15,
Terrence Edwards Jr.,Louisville,35,32.7457,3.64609,Sr,2002-05-20,
Rondel Walker,North Texas,33,23.0286,5.13113,Sr,2001-09-22,
Michael Thomas,Louisiana,28,21.4897,-3.85024,Sr,2001-11-08,
Matthew-Alexander Moncrieffe,Seattle,28,28.5103,1.00109,Sr,2001-03-22,
Luke O'Brien,Georgia Tech,10,21.1600,-0.157123,Sr,2001-08-21,
Tyree Ihenacho,Washington,30,20.8452,0.225747,Sr,2001-10-15,
Mike Bekelja,Kent St.,34,14.3361,1.26386,Sr,2000-08-09,
Jalen Speer,Marshall,30,28.8290,-1.2345,Sr,2001-10-15,
Robert Jeter IV,Southern Utah,25,11.2286,-7.82432,Sr,2001-10-15,
Nate Martin,Marshall,31,27.8939,2.41763,Sr,2001-10-15,
Dylan Dawson,Texas St.,19,25.5300,-4.09683,Sr,2001-10-15,
Jordan Meka,Monmouth,21,9.7857,0.820338,Sr,2001-10-15,
Javonte Brown,Rhode Island,30,20.6290,3.75308,Sr,2002-09-19,
Saba Gigiberia,San Francisco,22,4.0087,5.59254,Sr,2001-10-01,
DA Houston,Coastal Carolina,1,11.6000,-16.3242,Sr,2001-12-26,
Shannon Grant,Jackson St.,33,26.6515,0.717539,Sr,2002-05-30,
Terren Frank,Campbell,20,15.8227,-3.60507,Sr,2000-12-06,
Malachi Poindexter,Illinois St.,35,21.4286,-1.80422,Sr,2001-10-15,
Bryce Thompson,Oklahoma St.,35,26.9286,0.749707,Sr,2002-02-26,
Tyon Grant-Foster,Grand Canyon,25,27.5038,2.64872,Sr,2000-03-05,
Latrell Jossell,North Texas,34,21.9444,0.976264,Sr,2001-10-15,
Andrew Carr,Kentucky,35,24.0057,8.02663,Sr,2002-02-01,
Ebenezer Dowuona,James Madison,27,11.4107,0.297756,Sr,2001-10-15,
Trey Galloway,Indiana,32,27.9750,0.662666,Sr,2001-11-28,
Aziz Bandaogo,Cincinnati,35,25.5800,6.40474,Sr,2001-01-18,
Bowen Born,Colorado St.,36,14.7861,1.86711,Jr,2001-08-04,
Kian Scroggins,Sam Houston St.,9,19.4600,-2.54104,Sr,2001-10-15,
Kobe Stewart,Presbyterian,30,33.1667,0.660677,Sr,2002-07-24,
Nendah Tarke,Towson,32,26.2697,-0.430745,Sr,2001-01-31,
Kendall Munson,Jacksonville,31,22.4485,-1.71397,Sr,2001-10-09,
Sami Osmani,Creighton,10,1.7700,-13.4865,Sr,2001-10-15,
London Riley,Alabama A&M,25,17.2036,-7.20985,Sr,2001-11-06,
Andrew Welage,Wright St.,29,12.5935,-3.09366,Sr,2001-10-15,
Jalen Leach,Northwestern,23,31.4348,3.72117,Sr,2001-10-15,
Ra'Heim Moss,Oregon,30,10.3900,0.209127,Sr,2001-10-15,
Xavier Foster,Radford,10,7.8182,-1.72394,Sr,2002-05-01,
Jonathan Aybar,FIU,31,24.7903,-1.98461,Jr,2001-10-15,
Lynn Kidd,Miami FL,27,29.0111,2.28424,Sr,2001-12-17,
Dawson Garcia,Minnesota,32,35.3469,5.09322,Sr,2001-09-20,
Terrell Ard Jr.,Mount St. Mary's,20,24.4143,2.27037,Sr,2001-10-15,
Monty Bowser,Northern Arizona,30,18.4206,-4.68895,Sr,2001-10-15,
Grant Huffman,Vanderbilt,29,18.2241,3.42665,Sr,2001-07-12,
Abou Ousmane,Oklahoma St.,34,22.5971,4.24331,Sr,2001-04-07,
Dayvion McKnight,Xavier,34,32.5912,2.19878,Sr,2002-07-02,
Vukasin Masic,Portland,26,27.8333,-1.15864,Sr,2001-06-14,
Brent Davis,LIU,22,30.7167,1.48183,Sr,2001-10-15,
Yame Butler,Drexel,32,31.2727,0.147789,Sr,2001-10-15,
Anthony Roy,Green Bay,11,33.0636,6.40319,Sr,2001-12-06,
Graham Ike,Gonzaga,35,22.8886,8.76531,Sr,2002-08-03,
Liam Lloyd,Arizona,14,2.0286,-2.56024,Sr,2001-10-15,
Chance McMillian,Texas Tech,31,32.8032,8.26644,Sr,2001-02-06,
Jaxson Robinson,Kentucky,24,28.0875,5.08248,Sr,2002-12-03,
Hayden Hefner,Texas A&M,32,15.2219,4.20253,Sr,2001-10-15,
Quincy Ballard,Wichita St.,32,27.5242,6.47664,Sr,2001-07-28,
Pat Suemnick,Oklahoma St.,34,11.7382,-0.3138,Sr,2001-10-15,
Kam Farris,Bryant,23,11.3583,-7.01156,Sr,2001-02-09,
Enoch Cheeks,Dayton,33,33.7909,6.21812,Sr,2001-04-15,
Freddy Hicks,Tarleton St.,7,25.6714,0.540605,Jr,2002-05-13,
John Shanu II,Eastern Michigan,29,9.5133,-3.51057,Sr,2001-10-15,
Devin Askew,Long Beach St.,30,36.0063,-0.782547,Sr,2002-07-26,
Xavier DuSell,Nevada,33,23.3848,0.767583,Sr,2001-12-25,
Moussa Cisse,Memphis,35,18.2029,4.62717,Sr,2002-09-10,
Tytan Anderson,Northern Iowa,32,29.9727,5.3455,Sr,2002-04-17,
Markhi Strickland,Western Michigan,31,29.8969,-3.38454,Jr,2001-05-27,
Modestas Kancleris,Illinois Chicago,29,20.6781,3.80764,Sr,2001-06-01,
Beon Riley,Utah Tech,28,29.7172,-0.674345,Sr,2002-05-12,
Ryan Kalkbrenner,Creighton,35,34.4457,11.0027,Sr,2002-01-17,34
Rollie Worster,Nebraska,31,25.6645,2.73722,Sr,2000-10-28,
Darlinstone Dubar,Tennessee,33,9.7424,3.14411,Sr,2001-08-15,
Julian Larry,Texas,35,19.8086,-0.111332,Sr,2002-03-11,
Yacine Toumi,Seton Hall,29,16.3759,-1.87516,Sr,2000-10-12,
Jaden Walker,Texas A&M Corpus Chris,27,20.6633,0.873515,Jr,2002-03-20,
Collin Moore,Grand Canyon,33,25.5394,4.85852,Sr,2001-05-10,
Cam Bryant,Mercer,31,24.8545,-3.01953,Sr,2001-12-07,
Eugene Brown III,Georgia Southern,28,24.2034,-3.39477,Sr,2001-10-15,
Melvyn Ebonkoli,UMKC,29,25.9364,-3.16006,Sr,2001-04-11,
Skylar Wicks,UTSA,8,11.8900,-5.53598,Jr,2000-05-26,
Kenny Hunter,Texas Southern,28,23.5581,-3.95191,Sr,2002-04-18,
Toby Okani,West Virginia,32,29.2156,1.85911,Sr,2001-10-05,
Tyson Acuff,Rutgers,32,15.5375,1.05695,Sr,2002-09-16,
Dezmond McKinney,Bellarmine,26,12.2071,-4.10994,Sr,2001-10-15,
Kaden Metheny,Liberty,32,31.9941,1.77499,Jr,2001-06-01,
Zion Bethea,Pepperdine,29,21.5767,-2.63767,Jr,2001-10-15,
David Green,Rhode Island,27,27.9036,1.03883,Sr,2002-03-27,
